region,title,view_num,danmu,upload_time,up_author,video_url
未知,内娱RED女团周洛汐cover 权志龙+CL The Leaders rap！好强！,9.5万,384,8-20,嗑糖少女000,www.bilibili.com/video/BV1GS42197E6/
未知,【R.E.D组合】七人版《Catwalk（猫步）》in越南,14.6万,1356,6-27,四圣兽OFFICIAL,www.bilibili.com/video/BV1hy411q7mV/
未知,[R.E.D组合]麻烦内娱以后成团标准按照这个卷起来,7.4万,43,7-7,是纠结的包子呀,www.bilibili.com/video/BV1e5hSevERa/
未知,(R.E.D女团reaction)外网偶然看到/搬运/机翻,3.8万,88,7-2,erweio,www.bilibili.com/video/BV1nFhPeEESH/
未知,【内娱女团cover姆爷rihanna经典歌曲】|R.E.D上海粉丝见面会21号上海场特别舞台（尹子璐周洛汐双人舞台）,4.5万,325,8-21,飞飞不爱喝奶茶,www.bilibili.com/video/BV1GhWYeNEd5/
未知,【RED女团】来看什么才是内娱全开麦！唱跳舞台！！,2.3万,172,8-23,染家族站-染匠司务,www.bilibili.com/video/BV1KBWQeGEp9/
未知,【R.E.D组合】结业四人舞台《WRU（觅）》（周洛汐/李芊语/刘婷秀/李雨林）,8.5万,864,7-11,RED_OFFICIAL_,www.bilibili.com/video/BV1db421n7gC/
未知,【RED】我要被你们天马行空的想象力笑死了，七小只太好玩了,8352,9,7-4,玩尬小麦,www.bilibili.com/video/BV1ufhpeDE8s/
未知,好有活力！内娱女团RED《爱的主打歌》舞蹈练习室！,22.3万,445,7-21,嗑糖少女000,www.bilibili.com/video/BV1Tb421J7RR/
未知,【R.E.D女团】北京线下见面会day1开场vcr,2万,148,8-8,土豆撞地球,www.bilibili.com/video/BV1eRYte1EFb/
未知,RED女团｜百分百出品Reaction 5-6期 非常低气压的一期，只能说时间会证明一切,2688,128,18小时前,emma是大总攻,www.bilibili.com/video/BV1Q2Wze7ELJ/
未知,大事件！！RED女团舞担地位不保（bushi）,2038,7,8-22,辣条剥蒜董事长,www.bilibili.com/video/BV1UAW5e6ESG/
未知,(去镜像)R.E.D女团出道后首场抖音直播,3.8万,643,7-12,XX向荣-,www.bilibili.com/video/BV1p1421b7oR/
未知,内娱竟然有团尝试afro曲风？！肆意盛放的生命力，夏季听不要太适合【R.E.D组合】—《WRU（觅）》歌词分配认人版[中英字幕],2.2万,216,8-17,质数之荷yep,www.bilibili.com/video/BV12geGeWEJB/
未知,【彭湘蕊ⅠR.E.D女团】关于靠谱蕊队的细节合集,1.6万,32,7-3,是胶囊啊啊啊啊啊,www.bilibili.com/video/BV1eNhCe7Et5/
未知,【染色体娱乐家族】FILA斐乐直播cut 家族感来了！老板 子浩 red女团都在！,2.5万,140,8-20,染家族站-染匠司务,www.bilibili.com/video/BV1rBWse4E4Q/
未知,R.E.D女团上海见面会8.22经过第一场上海见面会第二次舞台表演更强了,1.5万,43,8-22,red路人粉粉圈唯粉勿扰,www.bilibili.com/video/BV1xRWjeCEms/
未知,超美！R.E.D女团教中国日报外籍记者唱跳,5.7万,305,5-23,中国日报,www.bilibili.com/video/BV1ez42127PS/
未知,『R.E.D组合』我勒个小品女团 选美大赛宣言激情喊麦  好吧她们不尴尬尴尬的就是我了,2675,11,昨天,方糖str,www.bilibili.com/video/BV1FcWiepEar/
未知,R.E.D深圳见面会8.23,7076,200,8-24,Tom帅,www.bilibili.com/video/BV1EfW9eiEcH/
未知,【R.E.D组合】结业六人舞台《A.O.1.G》（周洛汐/李芊语/刘婷秀/彭湘蕊/李雨林/胡静怡）,17.3万,3157,7-11,RED_OFFICIAL_,www.bilibili.com/video/BV1wi421Y7kx/
未知,【R.E.D组合】《爱的主打歌》一镜到底版本,12.2万,426,7-24,RED_OFFICIAL_,www.bilibili.com/video/BV1qS42197me/
未知,内娱女团reaction,4644,84,昨天,张逗逗很好,www.bilibili.com/video/BV1gKWze1EZj/
未知,染女和杜华女团name练习室对比,11.6万,362,5-30,XX向荣-,www.bilibili.com/video/BV1pn4y1R7ka/
